#TITLE:Dream On
#ARTIST:Aerosmith
#LANGUAGE:English
#EDITION:None
#GENRE:None
#YEAR:1973
#CREATOR:Hun
#MP3:Aerosmith - Dream On.m4a
#COVER:Aerosmith - Dream On [CO].jpg
#BACKGROUND:Aerosmith - Dream On [BG].jpg
#BPM:287
#GAP:38260
: 0 3 -2 Ev’
: 4 11 0 ry 
: 16 19 5 time 
: 36 3 0 that 
: 40 7 -4 I 
: 48 15 0 look 
: 64 7 -2 in 
: 72 3 0 the 
: 76 7 -2 mir
: 84 12 -4 ror 
- 98
: 120 7 -2 All 
: 128 7 0 these 
: 136 19 5 lines 
: 156 3 0 on 
: 160 3 -4 my 
: 164 15 0 face 
: 180 3 -2 get
: 184 7 -2 tin’ 
: 192 3 0 clea
: 196 7 -2 re
: 204 24 -2 ~r 
- 230
: 260 3 -2 The 
: 264 11 -4 past 
: 276 7 -2 is 
: 284 48 -7 gone 
- 334
: 344 15 7 It 
: 360 15 5 went 
: 376 16 3 by 
: 396 3 0 li
: 400 3 -2 ~
: 404 15 -4 ~ke 
: 420 3 -2 du
: 424 3 0 ~sk 
: 428 7 -4 to 
: 436 3 -9 da
: 440 16 -7 ~wn 
- 458
: 472 3 -7 I
: 476 3 -5 sn’t 
: 480 7 -4 that 
: 488 3 -2 the 
: 492 16 0 way 
- 510
: 520 7 8 Ev’
: 528 3 8 ry
: 532 3 8 bo
: 536 3 8 dy’s 
: 540 7 7 got 
: 548 3 5 their 
: 552 7 5 due
: 560 3 3 ~s 
: 564 7 3 in 
: 572 3 0 li
: 576 3 -2 ~fe 
: 580 3 -4 to 
: 584 56 0 pay 
- 642
: 684 3 0 Yeah
: 688 3 0 ~
: 692 3 3 ~
: 696 11 5 ~ 
: 708 7 5 I 
: 716 12 3 know 
: 732 3 5 no
: 736 7 5 bo
: 744 3 3 dy 
: 748 8 0 knows 
- 758
: 764 3 5 Where 
: 768 3 3 it 
: 772 3 5 co
: 776 7 3 ~mes 
: 784 3 3 and 
: 788 7 5 where 
: 796 3 3 i
: 800 3 3 ~t 
: 804 3 5 goe
: 808 8 3 ~s 
- 818
: 824 7 5 I 
: 832 7 3 know 
: 840 3 3 it’s 
: 844 7 5 ev’
